Up To,Percent of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Use Disoder,Mental Health and Sub. Use Disorder Freq.,Imaging,Avg. Imaging Freq,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,Preventive (Combined),Avg. Prev. Freq (Combined),Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,OP Surgery,OP Surgery Freq.,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
"$45,000",0.30%,"$3,548.62","$42,355.95",$344.04,0.138,$325.92,0.027,$156.45,0.983,$178.06,1.124,$81.26,0.72,$86.40,0.129,$1.83,0.016,$64.13,1.131,$134.69,1.635,$118.30,3.472,$116.07,0.759,$52.79,0.527,$6.73,0.058,$56.55,0.17,$0.27,0,$534.25,2.918,0.086,0,$185.95,6.349,$299.46,1.021,$45.83,0.12,$23.64,0.008,$12.68,0.073,$68.58,0.647,$51.23,0.034,$35.17,0.094,$0.71,0.005,$1.11,0.011,$25.40,0.197,$38.73,0.934,$46.77,0.698,$71.53,2.775,$320.94,1.2,$213.31,1.718,0.023,0.042,0.053,0.06,0.065,0.068,0.07,0.072,0.074,0.075,$87.38,0.58,$48.34,0.33,$27.31,0.2,$16.16,0.12,$10.01,0.08,$6.38,0.05,$4.20,0.04,$2.85,0.03,$1.96,0.02,$1.37,0.01
"$50,000",0.24%,"$3,644.84","$47,508.17",$351.52,0.14,$361.98,0.029,$157.19,0.988,$180.26,1.135,$82.18,0.724,$88.66,0.132,$1.91,0.017,$65.52,1.15,$135.30,1.642,$120.22,3.504,$119.98,0.771,$54.15,0.534,$6.82,0.058,$59.01,0.18,$0.36,0,$557.62,2.969,0.092,0,$187.78,6.385,$314.60,1.03,$47.20,0.121,$33.27,0.01,$13.30,0.075,$68.88,0.649,$52.67,0.035,$35.98,0.097,$0.78,0.005,$1.13,0.012,$26.22,0.202,$39.30,0.948,$47.77,0.71,$72.45,2.794,$337.55,1.232,$220.08,1.737,0.024,0.044,0.056,0.064,0.069,0.072,0.075,0.077,0.078,0.079,$88.03,0.58,$48.88,0.34,$27.72,0.2,$16.48,0.12,$10.27,0.08,$6.60,0.05,$4.38,0.04,$3.00,0.03,$2.09,0.02,$1.48,0.01
"$100,000",1.08%,"$4,214.97","$69,365.43",$388.94,0.148,$592.51,0.037,$160.33,1.004,$194.33,1.183,$94.95,0.799,$103.16,0.153,$2.23,0.019,$75.75,1.227,$139.24,1.675,$133.62,3.696,$140.23,0.832,$63.60,0.575,$7.09,0.06,$69.55,0.2,$1.05,0,$700.90,3.257,0.131,0,$199.23,6.592,$390.92,1.078,$56.71,0.128,$153.00,0.028,$18.70,0.09,$76.25,0.709,$61.90,0.041,$41.26,0.112,$1.04,0.007,$1.19,0.012,$34.15,0.235,$41.60,0.992,$54.95,0.786,$78.67,2.91,$434.39,1.415,$266.52,1.842,0.029,0.053,0.069,0.08,0.087,0.093,0.097,0.101,0.104,0.106,$90.64,0.6,$50.90,0.35,$29.26,0.21,$17.62,0.13,$11.10,0.08,$7.19,0.06,$4.80,0.04,$3.29,0.03,$2.30,0.02,$1.63,0.02
"$200,000",0.50%,"$4,613.46","$134,992.26",$406.66,0.152,$825.51,0.043,$161.98,1.013,$206.44,1.207,$101.77,0.834,$117.55,0.171,$2.37,0.02,$80.54,1.26,$140.81,1.691,$142.57,3.828,$172.46,0.889,$72.94,0.61,$7.31,0.062,$92.21,0.22,$1.77,0,$840.18,3.497,0.171,0,$206.76,6.692,$427.23,1.094,$64.43,0.133,$276.96,0.038,$21.67,0.103,$80.09,0.731,$72.16,0.046,$45.39,0.125,$1.15,0.008,$1.22,0.013,$38.08,0.253,$42.46,1.008,$60.95,0.846,$81.62,2.982,$536.51,1.582,$303.67,1.916,0.032,0.059,0.077,0.09,0.099,0.106,0.112,0.117,0.121,0.125,$92.08,0.61,$52.10,0.35,$30.22,0.21,$18.38,0.13,$11.70,0.09,$7.66,0.06,$5.17,0.04,$3.59,0.03,$2.53,0.02,$1.81,0.02
"$300,000",0.13%,"$4,759.63","$237,151.23",$411.91,0.153,$949.25,0.045,$163.10,1.016,$212.72,1.216,$103.02,0.838,$123.98,0.179,$2.46,0.021,$81.69,1.267,$141.32,1.698,$147.38,3.896,$187.74,0.913,$75.98,0.621,$7.41,0.062,$104.35,0.23,$2.06,0,$921.16,3.626,0.189,0.01,$208.60,6.726,$434.38,1.098,$65.73,0.134,$309.95,0.041,$22.73,0.105,$80.29,0.733,$76.91,0.048,$47.07,0.13,$1.24,0.008,$1.22,0.013,$39.08,0.257,$42.61,1.01,$64.61,0.884,$82.77,3.012,$598.46,1.675,$322.69,1.951,0.033,0.06,0.079,0.093,0.103,0.111,0.118,0.124,0.128,0.133,$93.08,0.61,$52.99,0.36,$31.00,0.21,$19.05,0.13,$12.29,0.09,$8.17,0.06,$5.62,0.04,$3.97,0.03,$2.85,0.02,$2.08,0.02
"$400,000",0.05%,"$4,832.07","$343,065.01",$414.04,0.153,"$1,011.54",0.046,$163.44,1.018,$216.41,1.22,$103.68,0.841,$129.20,0.183,$2.48,0.021,$82.51,1.272,$141.80,1.703,$150.35,3.932,$195.85,0.923,$77.42,0.626,$7.51,0.062,$110.92,0.23,$2.30,0,$973.78,3.691,0.2,0.01,$209.37,6.738,$438.86,1.1,$66.09,0.134,$325.63,0.042,$23.03,0.106,$80.65,0.736,$81.31,0.05,$47.90,0.133,$1.25,0.008,$1.22,0.013,$39.80,0.261,$42.71,1.011,$66.99,0.907,$83.36,3.024,$640.80,1.726,$332.98,1.965,0.033,0.061,0.08,0.094,0.105,0.113,0.12,0.126,0.131,0.135,$93.40,0.61,$53.27,0.36,$31.25,0.22,$19.28,0.13,$12.49,0.09,$8.36,0.06,$5.79,0.04,$4.13,0.03,$2.99,0.02,$2.21,0.02
"$500,000",0.02%,"$4,874.15","$456,638.55",$415.70,0.154,"$1,050.01",0.047,$163.56,1.018,$218.03,1.222,$103.86,0.842,$132.63,0.186,$2.53,0.021,$83.14,1.274,$141.91,1.705,$152.31,3.953,$198.53,0.927,$78.15,0.628,$7.53,0.062,$112.85,0.24,$2.71,0,"$1,011.29",3.72,0.206,0.01,$209.74,6.744,$440.86,1.1,$66.15,0.134,$336.57,0.043,$23.20,0.106,$80.66,0.736,$84.30,0.051,$48.32,0.135,$1.31,0.009,$1.23,0.013,$40.41,0.263,$42.73,1.011,$68.64,0.921,$83.67,3.032,$670.26,1.748,$341.03,1.972,0.033,0.061,0.081,0.095,0.106,0.114,0.121,0.127,0.132,0.137,$93.51,0.61,$53.36,0.36,$31.32,0.22,$19.33,0.14,$12.53,0.09,$8.38,0.06,$5.81,0.04,$4.14,0.03,$3.01,0.02,$2.22,0.02
"$1,000,000",0.03%,"$4,934.08","$704,988.90",$417.55,0.154,"$1,144.34",0.048,$163.72,1.019,$218.82,1.224,$104.53,0.843,$134.37,0.187,$2.64,0.022,$83.44,1.276,$142.14,1.708,$156.58,3.983,$204.74,0.933,$79.67,0.632,$7.56,0.063,$117.52,0.24,$3.11,0,"$1,066.68",3.762,0.222,0.01,$210.57,6.753,$447.88,1.102,$67.03,0.134,$365.95,0.044,$23.33,0.106,$81.19,0.736,$85.52,0.052,$48.85,0.136,$1.41,0.009,$1.23,0.013,$40.67,0.264,$42.76,1.012,$72.50,0.942,$84.08,3.041,$700.09,1.777,$366.59,1.985,0.033,0.062,0.081,0.096,0.107,0.115,0.123,0.129,0.134,0.139,$93.65,0.61,$53.49,0.36,$31.44,0.22,$19.43,0.14,$12.62,0.09,$8.46,0.06,$5.87,0.04,$4.20,0.03,$3.06,0.02,$2.26,0.02
"$2,000,000",0.00%,"$4,934.08",.,$417.55,0.154,"$1,144.34",0.048,$163.72,1.019,$218.82,1.224,$104.53,0.843,$134.37,0.187,$2.64,0.022,$83.44,1.276,$142.14,1.708,$156.58,3.983,$204.74,0.933,$79.67,0.632,$7.56,0.063,$117.52,0.24,$3.11,0,"$1,066.68",3.762,0.222,0.01,$210.57,6.753,$447.88,1.102,$67.03,0.134,$365.95,0.044,$23.33,0.106,$81.19,0.736,$85.52,0.052,$48.85,0.136,$1.41,0.009,$1.23,0.013,$40.67,0.264,$42.76,1.012,$72.50,0.942,$84.08,3.041,$700.09,1.777,$366.59,1.985,0.033,0.062,0.081,0.096,0.107,0.115,0.123,0.129,0.134,0.139,$93.65,0.61,$53.49,0.36,$31.44,0.22,$19.43,0.14,$12.62,0.09,$8.46,0.06,$5.87,0.04,$4.20,0.03,$3.06,0.02,$2.26,0.02
Unlimited,0.00%,"$4,934.08",.,$417.55,0.154,"$1,144.34",0.048,$163.72,1.019,$218.82,1.224,$104.53,0.843,$134.37,0.187,$2.64,0.022,$83.44,1.276,$142.14,1.708,$156.58,3.983,$204.74,0.933,$79.67,0.632,$7.56,0.063,$117.52,0.24,$3.11,0,"$1,066.68",3.762,0.222,0.01,$210.57,6.753,$447.88,1.102,$67.03,0.134,$365.95,0.044,$23.33,0.106,$81.19,0.736,$85.52,0.052,$48.85,0.136,$1.41,0.009,$1.23,0.013,$40.67,0.264,$42.76,1.012,$72.50,0.942,$84.08,3.041,$700.09,1.777,$366.59,1.985,0.033,0.062,0.081,0.096,0.107,0.115,0.123,0.129,0.134,0.139,$93.65,0.61,$53.49,0.36,$31.44,0.22,$19.43,0.14,$12.62,0.09,$8.46,0.06,$5.87,0.04,$4.20,0.03,$3.06,0.02,$2.26,0.02
